area,state,a_median,a_pct10,a_pct25,a_pct75,a_pct90
St. Cloud,MN,54940.3125,40451.14845938375,46108.0790960452,66131.85714285714,76929.05172413793
St. George,UT,46060.13333333333,29910.562913907284,36506.61129568106,57499.79865771812,70498.4693877551
St. Joseph,MO,48571.483050847455,32983.9406779661,39561.0593220339,60092.13675213675,74228.75536480687
St. Louis,MO,56231.67159763313,37293.56828193833,45474.80117820324,70389.15178571429,83259.61715160796
State College,PA,52322.955465587045,35372.25806451613,42981.41129032258,63937.551020408166,76173.75
Staunton-Waynesboro,VA,50667.02479338843,35271.60493827161,41788.39506172839,61794.896265560164,71953.5864978903
Stockton-Lodi,CA,58717.23595505618,40705.70469798658,47833.87892376682,72090.6334841629,86776.37614678899
Sumter,SC,47339.635416666664,32164.19689119171,38375.416666666664,57287.22513089005,68504.65608465609
Syracuse,NY,59608.17120622568,41836.46271510516,48554.16988416988,73725.98825831703,85369.0
Tallahassee,FL,47903.88888888889,32791.23425692695,38716.919191919194,57402.35294117647,71153.89175257731
Tampa-St. Petersburg-Clearwater,FL,52798.90795631825,35280.26153846154,43419.460708782746,65521.1968503937,78898.15705128205
Terre Haute,IN,47288.40277777778,31962.931034482757,39222.31034482759,59818.71527777778,71645.08771929824
Texarkana,TX,45356.99619771863,30806.590909090908,37122.992424242424,56689.19847328244,68258.80308880309
The Villages,FL,47599.05325443787,32964.05882352941,39315.76470588235,58819.520958083835,72745.60975609756
Toledo,OH,53518.57433808554,34867.64227642276,42550.71138211382,65447.40206185567,79221.41666666667
Topeka,KS,50269.85835694051,34220.76056338028,40811.32394366197,61943.00283286119,74788.17663817664
Trenton,NJ,67966.9603524229,47308.77729257642,55647.741228070176,81884.98871331828,95851.36890951276
Tucson,AZ,52955.896946564884,38055.22641509434,44582.30623818526,64775.31669865643,77445.61403508772
Tulsa,OK,51497.93165467626,34713.31550802139,41611.364452423695,64395.07246376811,75461.63568773234
Tuscaloosa,AL,49949.700598802396,33505.0447761194,40428.567164179105,61395.95166163142,72203.49845201238
Twin Falls,ID,45922.23684210526,30844.14847161572,37584.323144104805,56606.09649122807,69119.24107142857
Tyler,TX,49165.329512893986,32442.285714285714,39246.62857142857,59747.65217391304,71820.82352941176
Urban Honolulu,HI,62453.62763915547,42890.92803030303,50960.91254752852,76383.94584139265,90420.15655577299
Utica-Rome,NY,55386.209677419356,38885.23936170213,46635.5585106383,68712.64864864865,80149.69359331476
Valdosta,GA,43205.51440329218,27929.876543209877,34217.366255144036,53715.53719008264,66174.25
Vallejo-Fairfield,CA,66436.3925729443,44873.94736842105,54015.01319261214,81514.7311827957,94740.13966480448
Victoria,TX,46870.29268292683,31293.024390243903,37436.29268292683,58079.95121951219,71345.71428571429
Vineland-Bridgeton,NJ,55980.90909090909,39226.931818181816,45844.09090909091,67762.39543726236,78638.79377431907
Virginia Beach-Norfolk-Newport News,VA,54891.24590163935,37910.436893203885,45923.98703403566,68212.04918032787,79629.69645868466
Visalia-Porterville,CA,57554.21621621621,39898.54054054054,46478.45945945946,69868.77049180328,81336.09550561798
Waco,TX,49263.01075268817,33568.63636363636,40650.294117647056,60644.4474393531,72410.89673913043
Walla Walla,WA,55800.232558139534,39113.313953488374,45826.686046511626,66658.72093023256,78539.94152046784
Warner Robins,GA,50500.17667844523,32865.24647887324,39914.770318021205,61627.61565836299,73253.72759856631
Washington-Arlington-Alexandria,DC,69818.7724137931,46181.74560216509,56631.358695652176,85427.04067321178,98541.80616740088
Waterbury,CT,56375.77946768061,40550.93984962406,47050.41509433962,68812.23076923077,81672.39215686274
Waterloo-Cedar Falls,IA,52686.04105571847,36558.221574344025,43726.34502923977,63513.834808259584,75976.43916913947
Watertown-Fort Drum,NY,53063.394495412846,37794.818181818184,44863.318181818184,64585.345622119814,75860.0
Wausau,WI,52999.48096885813,37138.206896551725,44318.24137931035,63680.6968641115,74805.49295774648
Weirton-Steubenville,WV,48577.040358744394,31848.214285714286,39796.5625,60675.85585585586,73775.31531531531
Wenatchee,WA,56940.8407079646,41437.0796460177,47713.45132743363,69180.30973451327,80643.37837837837
Wheeling,WV,48571.660377358494,32246.377358490565,38651.84905660377,59731.140684410646,72472.29885057472
Wichita Falls,TX,45351.263940520446,32048.560885608855,37700.96296296296,55146.816479400746,66348.03773584905
Wichita,KS,50731.62977867203,34263.96793587174,40982.93762575453,62047.024291497975,74485.70841889117
Williamsport,PA,50462.530120481926,33723.614457831325,41056.26506024096,61077.61133603239,72531.91836734694
Wilmington,NC,52149.4414893617,35798.80636604774,42496.02122015915,64018.65951742628,76096.16438356164
Winchester,VA,53800.62962962963,36869.379562043796,44516.080586080585,65832.8624535316,78557.03007518797
Winston-Salem,NC,51588.879310344826,35751.927194860815,42693.961456102785,62744.1341991342,74500.04405286344
Worcester,MA,63748.16115702479,44028.0163599182,52848.26175869121,77030.75313807532,89617.12742980561
Yakima,WA,56720.920634920636,40662.50793650794,47204.12698412698,66809.58064516129,77920.62091503268
York-Hanover,PA,53932.10918114144,36569.06633906634,44524.926108374384,66485.99502487562,79052.76381909547
Youngstown-Warren-Boardman,OH,48699.330357142855,31921.227678571428,38856.31696428572,59667.8202247191,72805.45248868778
Yuba City,CA,59520.74380165289,40772.72727272727,47945.20661157025,71206.27615062761,86284.6835443038
Yuma,AZ,49174.92248062015,35155.73643410853,40800.19379844961,59906.589147286824,73246.47286821705
